#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
127,"Sleep Walk","Santo & Johnny",65,95,"space age pop, surf music","Pop, Rock","Canadian American Greatest Hits 50th Anniversary Collection",2012-10-25,02:25,78,21,76,96,44,0,20,-10,A#/B♭ Minor,3,2024-04-29,0yK8sWD6cfrc7pGfaPIcZH,"Canadian American Car-2010-B",3A,https://p.scdn.co/mp3-preview/36edbf4f880fca96df003cf0a1478bf93ecf77ed?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851bc0e1b686e5d098b1ecdbd96
128,"Água de Beber","Astrud Gilberto,Antônio Carlos Jobim",67,148,"bossa nova, brazilian jazz, lounge, samba-jazz, vocal jazz, brazilian classical, latin classical, mpb, violao","Jazz, Classical, Easy listening, Latin","The Astrud Gilberto Album",1965-01-01,02:18,65,32,44,0,85,0,0,-18,E Minor,4,2024-04-29,3QKJELWORZZ7rUZDWeMWSA,"Verve Reissues",9A,,https://i.scdn.co/image/ab67616d00004851b48a079c5273b6141af2dc35
129,"Lujon","Henry Mancini",58,100,"adult standards, classic soundtrack, easy listening","Easy listening","Mr. Lucky Goes Latin",1961-01-01,02:38,52,15,90,82,63,0,10,-18,A#/B♭ Minor,4,2024-04-29,37N37WJQvXqplFdCwkNgX3,"RCA/Legacy",3A,https://p.scdn.co/mp3-preview/36b8018e0722e5c24d8ab9895c186fe01a44a934?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851187cb5d9f8c6e9bb29652cb3
130,"Black Magic Woman - Single Version","Santana",68,124,"blues rock, classic rock, mexican classic rock","Rock","Santana's Greatest Hits",1994-07-01,03:16,49,35,68,8,62,0,0,-14,D Minor,4,2024-04-29,4YMQXzscifAREG0a7KNGhB,"Columbia/Legacy",7A,https://p.scdn.co/mp3-preview/0c6f2f23c5b8a2501444271043d57f2a9aca37c4?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851930858249e7abbb9b5317929
131,"House Of The Rising Sun","The Animals",73,117,"album rock, british invasion, classic rock, hard rock, protopunk, psychedelic rock, rock","Rock","The Animals",1964-01-01,04:31,30,58,0,22,23,0,10,-7,A Minor,3,2024-04-29,7BY005dacJkbO6EPiOh2wb,"ABKCO Music & Records, Inc.",8A,,https://i.scdn.co/image/ab67616d000048513c534611bd3658006378a2d7
132,"Alice In Wonderland","The Dave Brubeck Quartet",29,75,"bebop, jazz, jazz quartet","Jazz","Stardust",1983-01-01,03:33,44,6,100,92,47,0,10,-24,F Minor,4,2024-04-29,60RYqzdFnNDWBbeXy6ArZm,"Fantasy Records",4A,,https://i.scdn.co/image/ab67616d00004851e5d7bf46d50f23abfab0946d
133,"Easy Lovers","Piero Piccioni",62,70,"classic soundtrack, vintage italian soundtrack","Easy listening","Camille 2000 (Original Motion Picture Soundtrack)",1998-01-11,03:45,34,33,90,42,18,0,10,-14,C Minor,4,2024-04-29,4u307txePIagFC4K67AdBA,"Camille 3000",5A,https://p.scdn.co/mp3-preview/a36ead28a17ab86c50d0e2446cfb2c7ca3db420b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851bcdc5625685ad7a01a744f8b
134,"Waltz For Debby","Bill Evans",54,62,"bebop, contemporary post-bop, cool jazz, jazz, jazz piano, vocal jazz","Jazz","New Jazz Conceptions",1956-00-00,01:18,55,13,99,87,19,0,0,-20,F Major,4,2024-04-29,7bMrdOiYdHjz5dplqSxj8r,"Concord Records",7B,,https://i.scdn.co/image/ab67616d00004851929f54e5cc041223a098e39e
135,"Nancy (With The Laughing Face)","John Coltrane Quartet",59,116,"bebop, contemporary post-bop, hard bop, jazz, jazz quartet, jazz saxophone","Jazz","Ballads (Deluxe Edition - Rudy Van Gelder Remaster)",1963-00-00,03:11,52,14,98,19,30,0,10,-14,F Major,1,2024-04-29,2HdvZsLXBmO9sc4cV8d4BA,"Impulse!",7B,,https://i.scdn.co/image/ab67616d00004851a3d4884d3433efed2c4a0563
136,"While My Guitar Gently Weeps - Remastered 2009","The Beatles",71,115,"british invasion, classic rock, merseybeat, psychedelic rock, rock","Rock","The Beatles (Remastered)",1968-11-22,04:45,45,65,2,0,70,0,10,-9,E Minor,4,2024-04-29,389QX9Q1eUOEZ19vtzzI9O,"EMI Catalogue",9A,,https://i.scdn.co/image/ab67616d000048514ce8b4e42588bf18182a1ad2
137,"Time Moves Slow","BADBADNOTGOOD,Samuel T. Herring",67,140,"canadian modern jazz, indie soul, ","Jazz, R&B","IV",2016-07-08,04:33,59,38,48,3,31,0,10,-11,B Minor,4,2024-04-29,1IqF5PUDUnaykHLs0RWbDO,"Innovative Leisure",10A,https://p.scdn.co/mp3-preview/ee0fb5520ad237f8d4675b8b0a44e9977c040414?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485140080ed5a2ec3c92bf445247
138,"Koto Song","The Dave Brubeck Quartet",43,110,"bebop, jazz, jazz quartet","Jazz","Jazz Impressions Of Japan",1964-00-00,03:01,47,10,97,56,32,0,10,-19,A#/B♭ Minor,4,2024-04-29,7ApoQAZIblqnGXhdt3ggp8,"Columbia/Legacy",3A,https://p.scdn.co/mp3-preview/e916fb3ea665f87a8e21cd2c0c356a82a68beffb?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851ba26498291199da60973738a
139,"Didn't I","Darondo",66,75,"afrobeat, classic soul, funk, traditional soul","World/Traditional, R&B","Let My People Go",2005-01-24,03:29,46,38,90,26,64,0,10,-12,F Major,4,2024-04-29,6Dq2LzijkY9WNPwBGDah4L,"Luv N' Haight",7B,https://p.scdn.co/mp3-preview/1b64b17537a84fdf1bc42c7b6b1b072b233c4a2e?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048513d0128eee321aae2467aec37
140,"Night Lights","Gerry Mulligan",42,56,"bebop, cool jazz, jazz, jazz saxophone","Jazz","Walkman Jazz : Gerry Mulligan",1987-01-01,04:52,36,3,99,82,15,0,0,-25,G Major,4,2024-04-29,7jGGHvY9NqG8uSgnbqNF82,"Polydor",9B,,https://i.scdn.co/image/ab67616d00004851280e6dedcd0c039bf526af69
141,"Love Theme From Spartacus - Remastered 2023","Yusef Lateef",56,133,"avant-garde, bebop, free jazz, jazz, jazz saxophone","Classical, Jazz","Eastern Sounds (Remastered 2023)",2024-02-02,04:15,57,31,65,92,56,0,0,-16,E Minor,3,2024-04-29,2QHFSR7VUZZfRRwZycKqSa,"Craft Recordings",9A,,https://i.scdn.co/image/ab67616d00004851ff4a38917d1eb6c85752e9ff
142,"Tell Me a Bedtime Story","Herbie Hancock",47,119,"contemporary post-bop, instrumental funk, jazz, jazz funk, jazz fusion, jazz piano","Jazz, R&B","Fat Albert Rotunda",1969-12-08,05:01,40,53,71,93,35,0,10,-17,E Minor,4,2024-04-29,6eimz6jvlZaPwtflDWCTa0,"Rhino/Warner Records",9A,https://p.scdn.co/mp3-preview/0c419858be533e7f35887d8089814f53b21aae58?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485130c348e8e33a9cdd1aa58152
